second,distance,motion,lightIntensity,occupied,occupied_ml
608,2394.0,0,2.5,1,0
609,2394.0,0,2.5,1,0
610,2394.0,0,2.5,1,0
611,2394.0,0,2.5,1,0
612,2394.0,0,2.5,1,0
613,2394.0,0,2.5,1,0
614,2394.0,0,2.5,1,0
615,2394.0,0,2.5,1,0
616,2371.0,0,2.5,1,0
617,2373.0,0,2.5,1,0
618,2376.0,0,2.5,1,0
619,2378.0,0,2.5,1,0
620,2377.0,0,2.5,1,0
621,2378.0,0,2.5,1,0
622,2377.0,0,2.5,1,0
623,2377.0,0,2.5,1,0
624,2378.0,0,2.5,1,0
625,2378.0,0,2.5,1,0
626,2378.0,0,2.5,1,0
627,2377.0,0,2.5,1,0
628,2377.0,0,2.5,1,0
629,2378.0,0,2.5,1,0
630,2378.0,0,2.5,1,0
631,2378.0,0,2.5,1,0
632,2378.0,0,2.5,1,0
633,2376.0,0,2.5,1,0
634,2376.0,0,2.5,1,0
635,2375.0,0,2.5,1,0
636,2373.0,0,2.5,1,0
637,2373.0,0,2.5,1,0
638,2372.0,0,2.5,1,0
639,2372.0,0,2.5,1,0
640,2372.0,0,2.5,1,0
641,2373.0,0,2.5,1,0
642,2375.0,0,2.5,1,0
643,2375.0,0,2.5,1,0
644,2373.0,0,2.5,1,0
645,2375.0,0,2.5,1,0
646,2375.0,0,2.5,1,0
647,2374.0,0,2.5,1,0
648,2375.0,0,2.5,1,0
649,2377.0,0,2.5,1,0
650,2376.0,0,2.5,1,0
651,2378.0,0,2.5,1,0
652,2378.0,0,2.5,1,0
653,2378.0,0,2.5,1,0
654,2377.0,0,2.5,1,0
655,2375.0,0,2.5,1,0
656,2376.0,0,2.5,1,0
657,2376.0,0,2.5,1,0
658,2377.0,0,2.5,1,0
659,2376.0,0,2.5,1,0
660,2376.0,0,2.5,1,0
661,2376.0,0,2.5,1,0
662,2376.0,0,2.5,1,0
663,2373.0,0,2.5,1,0
664,2371.0,0,2.5,1,0
665,2376.0,0,2.5,1,0
666,2378.0,0,2.5,1,0
667,2376.0,0,2.5,1,0
668,2377.0,1,2.5,1,0
669,2374.0,0,2.5,1,0
670,2376.0,0,2.5,1,0
671,2375.0,0,2.5,1,0
672,2376.0,0,2.5,1,0
673,2378.0,1,2.5,1,0
674,2375.0,0,2.5,1,0
675,2371.0,0,2.5,1,0
676,2374.0,0,2.5,1,0
677,2375.0,0,2.5,1,0
678,2374.0,1,2.5,1,0
679,2374.0,0,2.5,1,0
680,2376.0,0,2.5,1,0
681,2375.0,0,2.5,1,0
682,2373.0,0,2.5,1,0
683,2375.0,0,2.5,1,0
684,2375.0,0,2.5,1,0
685,2376.0,0,2.5,1,0
686,2375.0,0,2.5,1,0
687,2377.0,0,2.5,1,0
688,2376.0,0,2.5,1,0
689,2377.0,0,2.5,1,0
690,2376.0,0,2.5,1,0
691,2376.0,0,2.5,1,0
692,2377.0,0,2.5,1,0
693,2377.0,0,2.5,1,0
694,2378.0,0,2.5,1,0
695,2372.0,0,2.5,1,0
696,2375.0,0,2.5,1,0
697,2376.0,0,2.5,1,0
698,2376.0,0,2.5,1,0
699,2378.0,0,2.5,1,0
700,2377.0,0,2.5,1,0
701,2378.0,0,2.5,1,0
702,2376.0,0,2.5,1,0
703,2376.0,0,2.5,1,0
704,2377.0,0,2.5,1,0
705,2375.0,0,2.5,1,0
706,2374.0,0,2.5,1,0
707,2375.0,0,2.5,1,0
708,2374.0,0,2.5,1,0
709,2377.0,0,2.5,1,0
710,2377.0,0,2.5,1,0
711,2377.0,0,2.5,1,0
712,2378.0,0,2.5,1,0
713,2377.0,0,2.5,1,0
714,2379.0,0,2.5,1,0
715,2378.0,0,2.5,1,0
716,2372.0,0,2.5,1,0
717,2373.0,0,2.5,1,0
718,2378.0,0,2.5,1,0
719,2379.0,0,2.5,1,0
720,2377.0,0,2.5,1,0
721,2378.0,0,2.5,1,0
722,2379.0,0,2.5,1,0
723,2377.0,0,2.5,1,0
724,2377.0,0,2.5,1,0
725,2377.0,0,2.5,1,0
726,2371.0,0,2.5,1,0
727,2372.0,0,2.5,1,0
728,2372.0,0,2.5,1,0
729,2373.0,0,2.5,1,0
730,2377.0,0,2.5,1,0
731,2375.0,0,2.5,1,0
732,2377.0,0,2.5,1,0
733,2375.0,0,2.5,1,0
734,2374.0,0,2.5,1,0
735,2375.0,0,2.5,1,0
736,2374.0,0,2.5,1,0
737,2376.0,0,2.5,1,0
738,2374.0,0,2.5,1,0
739,2374.0,0,2.5,1,0
740,2377.0,0,2.5,1,0
741,2371.0,0,2.5,1,0
742,2376.0,0,2.5,1,0
743,2370.0,0,2.5,1,0
744,2368.0,0,2.5,1,0
745,2367.0,0,2.5,1,0
746,2372.0,0,2.5,1,0
747,2372.0,0,2.5,1,0
748,2373.0,0,2.5,1,0
749,2372.0,0,2.5,1,0
750,2371.0,0,2.5,1,0
751,2372.0,0,2.5,1,0
752,2372.0,0,2.5,1,0
753,2372.0,0,2.5,1,0
754,2373.0,0,2.5,1,0
755,2371.0,0,2.5,1,0
756,2373.0,0,2.5,1,0
757,2374.0,0,2.5,1,0
758,2374.0,0,2.5,1,0
759,2377.0,0,2.5,1,0
760,2376.0,0,2.5,1,0
761,2376.0,0,2.5,1,0
762,2375.0,0,2.5,1,0
763,2377.0,0,2.5,1,0
764,2377.0,0,2.5,1,0
765,2377.0,0,2.5,1,0
766,2378.0,0,2.5,1,0
767,2378.0,0,2.5,1,0
768,2378.0,0,2.5,1,0
769,2377.0,0,2.5,1,0
770,2371.0,0,2.5,1,0
771,2375.0,0,2.5,1,0
772,2378.0,0,2.5,1,0
773,2377.0,0,2.5,1,0
774,2375.0,0,2.5,1,0
775,2378.0,0,2.5,1,0
776,2372.0,0,2.5,1,0
777,2372.0,0,2.5,1,0
778,2378.0,0,2.5,1,0
779,2378.0,0,2.5,1,0
780,2378.0,0,2.5,1,0
781,2378.0,0,2.5,1,0
782,2377.0,0,2.5,1,0
783,2378.0,0,2.5,1,0
784,2378.0,0,2.5,1,0
785,2378.0,0,2.5,1,0
786,2377.0,0,2.5,1,0
787,2374.0,0,2.5,1,0
788,2378.0,0,2.5,1,0
789,2376.0,0,2.5,1,0
790,2377.0,0,2.5,1,0
791,2379.0,0,2.5,1,0
792,2377.0,0,2.5,1,0
793,2376.0,0,2.5,1,0
794,2371.0,0,2.5,1,0
795,2374.0,0,2.5,1,0
796,2374.0,0,2.5,1,0
797,2379.0,0,2.5,1,0
798,2378.0,0,2.5,1,0
799,2378.0,0,2.5,1,0
800,2377.0,0,2.5,1,0
801,2374.0,0,2.5,1,0
802,2374.0,0,2.5,1,0
803,2374.0,0,2.5,1,0
804,2374.0,0,2.5,1,0
805,2374.0,0,2.5,1,0
806,2374.0,0,2.5,1,0
807,2374.0,0,2.5,1,0
808,2374.0,0,2.5,1,0
809,2374.0,0,2.5,1,0
810,2374.0,0,2.5,1,0
811,2374.0,0,2.5,1,0
812,2374.0,0,2.5,1,0
